title,money,knoladge,company,addition,city,link
Ведущий сетевой инженер,,PYTHON PRE INTERMEDIATE,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г. Москве,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/veduschij-setevoj-inzhener-45394333.html
Эксперт в отдел контроля критичных операций,,PYTHON JUNIOR,СБЕР,['Будьте первым'],Нижний Новгород,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/ekspert-v-otdel-kontrolya-kritichnyh-operacij-45580370.html
Оператор call-центра,30,PYTHON,Ростелеком6.5,['Отклик без резюме'],Пермь,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/operator-call-centra-44275930.html
Аналитик,,PYTHON PYTHON SQL,Ростелеком6.5,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/analitik-45467475.html
Менеджер по работе с входящими обращениями,30,PYTHON,Ростелеком6.5,['Отклик без резюме'],Пермь,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/menedzher-po-rabote-s-vhodyaschimi-obrascheniyami-44889234.html
Старший инженер отдела мониторинга информационной инфраструктуры (кибербезопасность),,POWERSHELL C C PYTHON,Сбербанк,,Новосибирск,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/starshij-inzhener-otdela-monitoringa-informacionnoj-infrastruktury-44993172.html
SRE-инженер,,BASHPYTHON OPENSTACK CEPH,Технопарк «Сколково»,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/sre-inzhener-44687398.html
Data-analysis-разработчик,,UNIX,Friendwork,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/data-analysis-razrabotchik-45229479.html
PostgreSQL DBA (Database Administrator),,POSTGRESQL PYTHON BASH PERL SQL,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г. Москве,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/postgresql-dba-45417872.html
Начальник отдела научно-методического обеспечения,,EXCEL R PYTHON SPSS,ФГБОУ ВО МГППУ,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/nachalnik-otdela-nauchno-metodicheskogo-obespecheniya-41239244.html
Data Engineer (remote),,GREENPLUM PYTHON AIRFLOW SQL,Friendwork,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/data-engineer-45166861.html
Data Scientist,,CTR CPC CPM VR VTR PYTHON SQL SPARK ML,Технопарк «Сколково»,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/data-scientist-44950974.html
DevOps Engineer,,PYTHONPOSTGRESQLREDISKAFKACLICKHOUSE,Friendwork,['Удаленная работа'],Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/devops-engineer-44948881.html
Системный администратор ЦОД,,ANSIBLEAWX POWERSHELL PYTHON,Филиал ФКУ Налог-Сервис ФНС России по ЦОД в г.Москве,,Москва,https://russia.superjob.ru/vacancy/search/?keywords=python&page=2/vakansii/sistemnyj-administrator-cod-45402852.html
