title,money,knoladge,company,addition,city,link
Врач анестезиолог-реаниматолог,По договорённости,,"Многопрофильная Медицинская Клиника ""ЕВРОМЕДКЛИНИК 24""6.3",['Частичная занятость'],"Москва, Сиреневый бульвар, 32А",https://russia.superjob.ru/vacancy/search/?page=9/vakansii/vrach-anesteziolog-reanimatolog-26384506.html
Главный специалист по сопровождению клиентов ДМС (без продаж),50.0,,"Страховая Компания ""Согласие""6.8","['Доступно для соискателей от 45+ лет', 'Полная занятость']",Ростов-на-Дону,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/glavnyj-specialist-po-soprovozhdeniyu-klientov-dms-51149688.html
Старший медицинский представитель (гастроэнтерология),По договорённости,,Abbott Laboratories7.6,['Полная занятость'],Владивосток,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/starshij-medicinskij-predstavitel-51110774.html
Лифтер грузового лифта,35.0,,ОДК-СЕРВИС,['Полная занятость'],Гатчина,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/lifter-gruzovogo-lifta-50816254.html
Контролёр-приёмщик,По договорённости,,Валента Фарм7,"['Опыт не нужен', 'Полная занятость']",Ивантеевка,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/kontroljor-prijomschik-51007057.html
Ведущий менеджер (в отделение банка),145.0,,Московский Кредитный Банк7.4,['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/veduschij-menedzher-50858226.html
Разнорабочий (в коттеджный поселок),По договорённости,,ГРИНЛАЙНДЕВЕЛОП,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Колтуши,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/raznorabochij-50604624.html
Шлифовщик по дереву,65.0,,Реал Стаирс,['Полная занятость'],Подольск,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/shlifovschik-po-derevu-48076591.html
Продавец-консультант,75.0,,МегаФон Ритейл7.2,"['Отклик без резюме', 'Полная занятость']","Нижнесортымский (Югра, Сургутский район)",https://russia.superjob.ru/vacancy/search/?page=9/vakansii/prodavec-konsultant-50967029.html
Медицинский регистратор,57.0,,"ХМАО-Югры ""Центр профессиональной патологии""","['Опыт не нужен', 'Полная занятость']",Ханты-Мансийск,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/medicinskij-registrator-39489564.html
Кредитный менеджер,50.0,,СОВКОМБАНКПроверенный работодатель7.6,"['Опыт не нужен', 'Полная занятость']",Солонешное,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/kreditnyj-menedzher-50511029.html
Инженер АСУ,156.0,,АО ЦВ ПРОТЕКПроверенный работодатель,['Сменный график'],Сергиев Посад,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/inzhener-asu-48821461.html
Наладчик технологического оборудования 6 разряда,303.5,,Сибирская угольная энергетическая компания,"['Опыт не нужен', 'Полная занятость']",Новошахтинск,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/naladchik-tehnologicheskogo-oborudovaniya-6-razryada-50959617.html
Машинист экскаватора-погрузчика,100.0,,Горцентрстрой,['Полная занятость'],"Москва, улица Капотня, 30с1",https://russia.superjob.ru/vacancy/search/?page=9/vakansii/mashinist-ekskavatora-pogruzchika-31837586.html
Менеджер по продажам,110.0,,"Страховая компания ""Ренессанс Жизнь""7.6",['Полная занятость'],Уфа,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/menedzher-po-prodazham-50489059.html
Медицинская сестра / медицинский брат в Отделение экстракорпоральной гемокоррекции,80.0,,НМИЦ ССХ им. А. Н. Бакулева МЗ РФ,['Полная занятость'],"Москва, Рублёвское шоссе, 135",https://russia.superjob.ru/vacancy/search/?page=9/vakansii/medicinskaya-sestra-50640584.html
Рабочий на производство,150.0,,Частный рекрутер Соколова Екатерина (партнер Яндекса),"['Опыт не нужен', 'Полная занятость']",Нижний Тагил,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/rabochij-na-proizvodstvo-51149686.html
Слесарь-сантехник,42.5,,Горно-металлургический комплексПроверенный работодатель6.8,['Полная занятость'],Оренбург,https://russia.superjob.ru/vacancy/search/?page=9/vakansii/slesar-santehnik-51166682.html
"Продавец-кассир (Богословское, Богословское, Центральная, 17)",53.0,,ПятёрочкаПроверенный работодатель6.5,['Частичная занятость'],Кашира,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/prodavec-kassir-50120789.html
Экономист,92.5,,Департамент занятости населения Ямало-Ненецкого автономного округа,,Лабытнанги,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/ekonomist-51056941.html
Ведущий специалист сектора информационной безопасности и технической защиты информации,295.0,,"СПб ГУП ""Горэлектротранс""6.9",['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/veduschij-specialist-sektora-informacionnoj-bezopasnosti-i-tehnicheskoj-zaschity-informacii-50298561.html
Системный администратор,По договорённости,,Социальный фонд России,['Полная занятость'],"Москва, улица Сущёвский Вал, 1",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/sistemnyj-administrator-50604777.html
Работник кулинарии/пекарни,473.0,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен']",Екатеринбург,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/rabotnik-kulinarii-51081309.html
Водитель категории С (универсальный моторный подогреватель),143.0,B C,ГСП-Механизация,['Вахта'],Петрозаводск,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/voditel-kategorii-s-50250850.html
Машинист-обходчик по котельному оборудованию,326.0,,Т Плюс7.1,"['Опыт не нужен', 'Полная занятость']",Пенза,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/mashinist-obhodchik-po-kotelnomu-oborudovaniyu-50854683.html
Старший ревизор-инвентаризатор,95.0,,Улыбка радуги6.9,"['Частичная занятость', 'Совместительство']",Пермь,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/starshij-revizor-inventarizator-50960069.html
Специалист по продажам корпоративным клиентам,283.5,BB,Лемана ПРОПроверенный работодатель7.8,"['Отклик без резюме', 'Полная занятость']",Тверь,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/specialist-po-prodazham-korporativnym-klientam-50495569.html
Водитель-установщик бытовой техники,100.0,,"Группа ""М. Видео-Эльдорадо""7.2","['Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/voditel-ustanovschik-bytovoj-tehniki-45318203.html
Маркировщик (Фабрика кулинарии),88.0,,"КуулКлевер (МясновЪ, Отдохни)6.3","['Опыт не нужен', 'Полная занятость']","Москва, Бирюлёвская улица, 38",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/markirovschik-50959834.html
Гладильщик,80.0,,Развитие,['Сменный график'],"Москва, Мичуринский проспект",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/gladilschik-50327478.html
Повар в ресторан (р-н Куркино),140.0,A AP OX O CO P X O E,Тануки,['Опыт не нужен'],"Москва, Новокуркинское шоссе, 25",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/povar-v-restoran-51087097.html
Менеджер склада / Приемщик товара,84.5,,Азбука вкусаПроверенный работодатель7.4,['Опыт не нужен'],Москва,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/menedzher-sklada-51086931.html
Слесарь механосборочных работ,60.0,,ОДК-СЕРВИС,['Сменный график'],Гатчина,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/slesar-mehanosborochnyh-rabot-50817022.html
Заведующий аптеками,150.0,,Ригла7.6,['Полная занятость'],Дмитров,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/zaveduyuschij-aptekami-51141774.html
Медицинский представитель (гинекология),По договорённости,,Abbott Laboratories7.6,['Полная занятость'],Владивосток,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/medicinskij-predstavitel-51110754.html
Менеджер по работе с клиентами,60.0,,"Страховая компания ""Ренессанс Жизнь""7.6","['Опыт не нужен', 'Полная занятость']",Салават,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/menedzher-po-rabote-s-klientami-50816354.html
Ветеринарный консультант (торговый представитель) по работе с ЗОО сетями и клиниками,93.5,ROYAL CANIN,Эй - Пи Трейд7.5,"['Опыт не нужен', 'Полная занятость']",Новокузнецк,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/veterinarnyj-konsultant-51134529.html
Врач-рентгенолог (КТ МРТ),150.0,,"ФГБУ ""Национальный медицинский исследовательский центр травматологии и ортопедии им. Н. Н. Приорова"" Минздрава России8.4",['Полная занятость'],"Москва, улица Приорова, 10",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/vrach-rentgenolog-31871174.html
Главный специалист технического отдела,437.0,MICROSOFT OFFICE,Объединенная энергетическая компанияПроверенный работодатель,['Полная занятость'],"Москва, улица Неверовского, 8",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/glavnyj-specialist-tehnicheskogo-otdela-51098292.html
Наладчик моечных машин,83.0,,Птицефабрика Синявинская,['Сменный график'],Приладожский,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/naladchik-moechnyh-mashin-51166725.html
Продавец ночной смены (м. Красные Ворота),99.0,,МагнолияПроверенный работодатель7.3,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/prodavec-nochnoj-smeny-49608344.html
Горный диспетчер,52.0,,Горно-металлургический комплексПроверенный работодатель6.8,"['Отклик без резюме', 'Полная занятость']",Учалы,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/gornyj-dispetcher-50828582.html
Менеджер по продажам,55.0,,МегаФон Ритейл7.2,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Воронеж,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/menedzher-po-prodazham-50967023.html
Бухгалтер по расчету заработной платы,По договорённости,,"ГПК ""Корпорация ТИРА""",['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/buhgalter-po-raschetu-zarabotnoj-platy-50847759.html
Эксперт (отдел стандартизации и регуляторного документооборота),По договорённости,,Валента Фарм7,['Полная занятость'],Щелково,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/ekspert-51004452.html
Сварщик на производство ЖБИ,125.0,,"ЖБК ""Мосбетон""","['Старт карьеры', 'Сменный график']",Наро-Фоминск,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/svarschik-na-proizvodstvo-zhbi-48677130.html
Врач-оториноларинголог детский,70.0,,ГДКП 5,['Полная занятость'],Пермь,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/vrach-otorinolaringolog-detskij-50189456.html
Токарь-расточник,180.0,,СПП-ВЫМПЕЛ,['Вахта'],Великие Луки,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/tokar-rastochnik-50688176.html
Электромонтажник по освещению и осветительным сетям,122.5,,ПетроЭлектроКомплекс,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/elektromontazhnik-po-osvescheniyu-i-osvetitelnym-setyam-28975250.html
Механик по ремонту и обслуживанию холодильного оборудования,90.0,B,Евро-холод-сервис XXI,['Полная занятость'],Зеленоград,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/mehanik-po-remontu-i-obsluzhivaniyu-holodilnogo-oborudovaniya-49829659.html
Риелтор / Эксперт,150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']",Москва,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/rieltor-11674002.html
Аппаратчик аква-чистки,60.0,,"Сеть химчисток ""Диана""Проверенный работодатель5.9","['Опыт не нужен', 'Сменный график']","Москва, Дорожная улица, 9с1",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/apparatchik-akva-chistki-31703526.html
Машинист бульдозера,180.0,CAT DT CAT DR SHANTUI SD KOMATSU DA LIEBHERR PR,"""ССК ""Газрегион""Проверенный работодатель7.9",['Вахта'],Казань,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/mashinist-buldozera-47819372.html
Ведущий инженер по сварке,210.0,,ГСП-1,['Вахта'],Новокузнецк,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/veduschij-inzhener-po-svarke-50829604.html
Маляр антикоррозийной защиты,175.0,,Р-Строй,['Вахта'],Ставрополь,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/malyar-antikorrozijnoj-zaschity-51158366.html
Врач-офтальмолог детский,250.0,,Вьетнамско-Российская офтальмологическая больница,['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/vrach-oftalmolog-detskij-50885385.html
Врач-хирург (отделения гнойной хирургии),150.0,,"ГБУЗ ""Городская клиническая больница имени В. В. Вересаева ДЗМ""6.7",['Полная занятость'],"Москва, Лобненская улица, 10",https://russia.superjob.ru/vacancy/search/?page=10/vakansii/vrach-hirurg-50392744.html
Менеджер по работе с клиентами,102.0,,РостелекомПроверенный работодатель6.7,"['Отклик без резюме', 'Опыт не нужен', 'Доступно для соискателей от 14+ лет']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=10/vakansii/menedzher-po-rabote-s-klientami-50252648.html
"Сборщик заказов (Струнино, Заречная, 8)",55.0,,ПятёрочкаПроверенный работодатель6.5,['Полная занятость'],Струнино,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/sborschik-zakazov-50921284.html
Уборщик служебных помещений,152.66666666666666,,"СПб ГУП ""Горэлектротранс""6.9","['Отклик без резюме', 'Опыт не нужен', 'Доступно для соискателей от 45+ лет']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/uborschik-sluzhebnyh-pomeschenij-49471866.html
Врач-терапевт участковый,220.0,,Департамент занятости населения Ямало-Ненецкого автономного округа,,Омск,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/vrach-terapevt-uchastkovyj-51056935.html
Старший смены (пекарня/кулинария),338.0,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Нижний Новгород,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/starshij-smeny-51135278.html
Главный специалист-эксперт отдела кадров,45.0,,Социальный фонд России,['Полная занятость'],Липецк,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/glavnyj-specialist-ekspert-otdela-kadrov-51130736.html
Машинист-обходчик по турбинному оборудованию,279.25,,Т Плюс7.1,"['Опыт не нужен', 'Сменный график']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=11/vakansii/mashinist-obhodchik-po-turbinnomu-oborudovaniyu-50452503.html
Водитель коммунальной дорожной машины,143.0,,ГСП-Механизация,['Вахта'],Алдан,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/voditel-kommunalnoj-dorozhnoj-mashiny-50136072.html
Инженер по эксплуатации зданий и сооружений,По договорённости,,Лемана ПРОПроверенный работодатель7.8,"['Отклик без резюме', 'Полная занятость']",Электросталь,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/inzhener-po-ekspluatacii-zdanij-i-sooruzhenij-51122129.html
Приемосдатчик на мясное производство,88.0,,"КуулКлевер (МясновЪ, Отдохни)6.3","['Опыт не нужен', 'Сменный график']","Москва, Бирюлёвская улица, 38",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/priemosdatchik-na-myasnoe-proizvodstvo-50959904.html
Кладовщик (ТЦ РИО),62.0,,"Группа ""М. Видео-Эльдорадо""7.2","['Опыт не нужен', 'Полная занятость']",Тверь,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/kladovschik-50923654.html
Су-шеф в ресторан (р-н Куркино),110.0,PA ECOO,Тануки,,"Москва, Новокуркинское шоссе, 25к2",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/su-shef-v-restoran-51087041.html
Медицинская сестра,122.5,,ОДК-СЕРВИС,['Сменный график'],Гатчина,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/medicinskaya-sestra-50817204.html
Менеджер по продажам (Страхование),120.0,,"Страховая компания ""Ренессанс Жизнь""7.6",['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/menedzher-po-prodazham-50847946.html
Продавец (ночные смены),90.0,,Азбука вкусаПроверенный работодатель7.4,"['Отклик без резюме', 'Опыт не нужен', 'Сменный график']",Москва,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/prodavec-33300141.html
Медицинский представитель по работе с врачами,По договорённости,,Abbott Laboratories7.6,"['Опыт не нужен', 'Полная занятость']",Красноярск,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/medicinskij-predstavitel-po-rabote-s-vrachami-51110716.html
Менеджер по продажам недвижимости / Агент / Риелтор (вторичный рынок жилья),150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']","Москва, Рязанский проспект, 75к4",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/menedzher-po-prodazham-nedvizhimosti-12126821.html
Военнослужащий по контракту (Тыловое Подразделение; 3-4 линия обороны),285.0,,Единый пункт отбора на службу по контракту,"['Опыт не нужен', 'Полная занятость']",Ангарск,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/voennosluzhaschij-po-kontraktu-51162469.html
Контролер отгрузки СБ,67.0,,ПерекрестокПроверенный работодатель6.6,"['Опыт не нужен', 'Полная занятость']",Зеленоград,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/kontroler-otgruzki-sb-51122081.html
"Водитель категории В, С, Е (бензовоз)",73.5,,Башнефть-Розница7.3,['Полная занятость'],Нефтекамск,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/voditel-kategorii-v-50996217.html
Слесарь-ремонтник в лабораторию,46.0,,УФАОРГСИНТЕЗ,"['Опыт не нужен', 'Полная занятость']",Уфа,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/slesar-remontnik-v-laboratoriyu-50332066.html
"Менеджер в пункт выдачи заказов (Пермская, 68)",193.25,,,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Пермь,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/menedzher-v-punkt-vydachi-zakazov-50769738.html
Менеджер по работе с клиентами,По договорённости,,"Страховая Компания ""Согласие""6.8","['Отклик без резюме', 'Опыт не нужен', 'Доступно для соискателей от 45+ лет']",Островское,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/menedzher-po-rabote-s-klientami-50994077.html
Специалист по автокредитованию,435.0,,Сбербанк РоссииПроверенный работодатель8,"['Отклик без резюме', 'Опыт не нужен', 'Сменный график']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/specialist-po-avtokreditovaniyu-51153958.html
Продавец-консультант,95.0,,MOON7.3,['Полная занятость'],Самара,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/prodavec-konsultant-50843178.html
Рабочий на производство ортопедических изделий,105.0,,,"['Отклик без резюме', 'Полная занятость']","Москва, Уссурийская улица, 14к2",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/rabochij-na-proizvodstvo-ortopedicheskih-izdelij-51169977.html
Стиральщица-гладильщица белья,90.0,,"Сеть химчисток ""Диана""Проверенный работодатель5.9","['Опыт не нужен', 'Полная занятость']","Москва, Дорожная улица, 9",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/stiralschica-gladilschica-belya-32814076.html
Монтер по работе с подземными трубопроводами,157.5,B C,Горцентрстрой,['Полная занятость'],"Москва, улица Капотня, 30с1",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/monter-po-rabote-s-podzemnymi-truboprovodami-46610762.html
Медицинская сестра-анестезист / Медицинский брат-анестезист,130.0,,"ФГБУ ""Национальный медицинский исследовательский центр травматологии и ортопедии им. Н. Н. Приорова"" Минздрава России8.4",['Полная занятость'],"Москва, улица Приорова, 10",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/medicinskaya-sestra-anestezist-50642058.html
Слесарь-ремонтник (ремонт спецтехники),125.0,,Группа ЛСРПроверенный работодатель6.6,['Полная занятость'],Никольское (Ленинградская область),https://russia.superjob.ru/vacancy/search/?page=11/vakansii/slesar-remontnik-50639509.html
Главный бухгалтер,По договорённости,,Трубный завод,['Полная занятость'],Тверь,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/glavnyj-buhgalter-50164916.html
Администратор магазина МО (ТЦ Мега Гринн),По договорённости,,FES retail7.4,['Полная занятость'],Белгород,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/administrator-magazina-mo-51121049.html
Оператор кромочного станка мебель,105.0,,Деревообрабатывающий комбинат №17,"['Опыт не нужен', 'Полная занятость']",Лесной,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/operator-kromochnogo-stanka-mebel-49780467.html
"Управляющий магазином (ТЦ Принц Плаза, м. Теплый Стан)",143.0,,Улыбка радуги6.9,['Полная занятость'],"Москва, Профсоюзная улица, 129А",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/upravlyayuschij-magazinom-50941557.html
Врач оториноларинголог (м. Раменки),150.0,,"Группа Компаний ""Медси""/АО ""ГРУППА КОМПАНИЙ ""МЕДСИ""Проверенный работодатель7.4",,"Москва, Мичуринский проспект, 56с1",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/vrach-otorinolaringolog-51039352.html
Эксперт клиентского центра,55.0,,«Почта Банк»6.8,"['Опыт не нужен', 'Полная занятость']",Вязьма,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/ekspert-klientskogo-centra-51104479.html
Упаковщик на склад,194.0,,СамокатПроверенный работодатель,"['Опыт не нужен', 'Частичная занятость', 'Совместительство']","Москва, Новочерёмушкинская улица, 49",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/upakovschik-na-sklad-51126696.html
Водитель автогидроподъемника-электромонтер 4 разряд,123.0,,Объединенная энергетическая компанияПроверенный работодатель,['Полная занятость'],"Москва, Днепропетровский проезд, 4А",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/voditel-avtogidropodemnika-elektromonter-4-razryad-51130534.html
Дежурант (м. Локомотив),45.0,,Ригла7.6,"['Опыт не нужен', 'Сменный график']","Москва, Щёлковское шоссе, 8",https://russia.superjob.ru/vacancy/search/?page=11/vakansii/dezhurant-51141692.html
Кладовщик (ТЦ Лето),415.5,,Фамилия7.3,"['Отклик без резюме', 'Опыт не нужен', 'Доступно студентам']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/kladovschik-51153928.html
Диспетчер по транспорту,46.0,,ЦЕМРОСПроверенный работодатель,,Жигулевск,https://russia.superjob.ru/vacancy/search/?page=11/vakansii/dispetcher-po-transportu-51092229.html
"Сборщик заказов (Струнино, Заречная, 8)",55.0,,ПятёрочкаПроверенный работодатель6.5,['Полная занятость'],Струнино,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/sborschik-zakazov-50921284.html
Культорганизатор детских внешкольных учреждений,394.5,,"СПб ГУП ""Горэлектротранс""6.9","['Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/kultorganizator-detskih-vneshkolnyh-uchrezhdenij-50572567.html
Системный администратор,По договорённости,,Социальный фонд России,['Полная занятость'],"Москва, улица Сущёвский Вал, 1",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/sistemnyj-administrator-50604777.html
Старший смены (пекарня/кулинария),338.0,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Нижний Новгород,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/starshij-smeny-51135278.html
Продавец-консультант,60.0,,Департамент занятости населения Ямало-Ненецкого автономного округа,,Надым,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/prodavec-konsultant-51056920.html
Водитель категории С (универсальный моторный подогреватель),143.0,B C,ГСП-Механизация,['Вахта'],Петрозаводск,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/voditel-kategorii-s-50250850.html
Машинист-обходчик по турбинному оборудованию,279.25,,Т Плюс7.1,"['Опыт не нужен', 'Сменный график']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=12/vakansii/mashinist-obhodchik-po-turbinnomu-oborudovaniyu-50452503.html
Кладовщик (ТЦ РИО),62.0,,"Группа ""М. Видео-Эльдорадо""7.2","['Опыт не нужен', 'Полная занятость']",Тверь,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/kladovschik-50923654.html
Изготовитель мясных полуфабрикатов/Повар холодного цеха,121.0,,"КуулКлевер (МясновЪ, Отдохни)6.3",['Полная занятость'],"Москва, Бирюлёвская улица, 38",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/izgotovitel-myasnyh-polufabrikatov-50959731.html
Инженер по эксплуатации,По договорённости,,Лемана ПРОПроверенный работодатель7.8,['Отклик без резюме'],Ярославль,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/inzhener-po-ekspluatacii-51092279.html
Менеджер склада / Приемщик товара,84.5,,Азбука вкусаПроверенный работодатель7.4,['Опыт не нужен'],Москва,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/menedzher-sklada-51086931.html
Хостес (р-н Куркино),61.0,E X OC OX PCO COA O O OA,Тануки,['Опыт не нужен'],"Москва, Новокуркинское шоссе, 25",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/hostes-51086977.html
Медицинская сестра,122.5,,ОДК-СЕРВИС,['Сменный график'],Гатчина,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/medicinskaya-sestra-50817204.html
Менеджер по продажам (Страхование),120.0,,"Страховая компания ""Ренессанс Жизнь""7.6",['Полная занятость'],Москва,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/menedzher-po-prodazham-50847946.html
Агент по работе с клиентами (вторичный рынок квартир),150.0,,ИНКОМ - НедвижимостьПроверенный работодатель7.7,"['Опыт не нужен', 'Полная занятость']","Москва, Рязанский проспект, 75к4",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/agent-po-rabote-s-klientami-12145289.html
Оператор кассир на АЗС (г. Бирск),33.0,,Башнефть-Розница7.3,"['Опыт не нужен', 'Полная занятость']",Бирск,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/operator-kassir-na-azs-50996213.html
Медицинский представитель (детское питание),По договорённости,,Abbott Laboratories7.6,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/medicinskij-predstavitel-51110697.html
Сотрудник пункта выдачи заказов (ул. Победы),153.5,,,"['Отклик без резюме', 'Опыт не нужен', 'Полная занятость']",Сызрань,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/sotrudnik-punkta-vydachi-zakazov-50769739.html
"Продавец в фирменный салон (МТК Гранд, г. Химки)",150.0,,MOON7.3,['Сменный график'],Зеленоград,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/prodavec-v-firmennyj-salon-50843177.html
Врач травматолог-ортопед,200.0,,,"['Отклик без резюме', 'Частичная занятость']","Москва, Уссурийская улица, 14к2",https://russia.superjob.ru/vacancy/search/?page=12/vakansii/vrach-travmatolog-ortoped-51169976.html
Кладовщик по браку,75.5,,ПерекрестокПроверенный работодатель6.6,"['Опыт не нужен', 'Полная занятость']",Дмитров,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/kladovschik-po-braku-51122069.html
Главный бухгалтер,По договорённости,,Трубный завод,['Полная занятость'],Тверь,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/glavnyj-buhgalter-50164916.html
Администратор магазина МО (ТЦ Мега Гринн),По договорённости,,FES retail7.4,['Полная занятость'],Белгород,https://russia.superjob.ru/vacancy/search/?page=12/vakansii/administrator-magazina-mo-51121049.html
