title,money,knoladge,company,addition,city,link
Упаковщик конфет,122.0,,Диал,"['Вахта', 'Опыт не нужен']",Москва,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/upakovschik-konfet-50200274.html
Горнорабочий подземный 3 разряд,По договорённости,,Сибирская угольная энергетическая компания,"['Вахта', 'Опыт не нужен']",Таштагол,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/gornorabochij-podzemnyj-3-razryad-51020284.html
Менеджер по продажам,139.0,,Лемана ПРОПроверенный работодатель7.8,"['Отклик без резюме', 'Опыт не нужен', 'Доступно студентам']","Москва, Новорижское шоссе, 22-й километр, 1с5",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/menedzher-po-prodazham-51066659.html
Продавец-кассир MAAG в ТЦ Мега Парнас,По договорённости,,RMixed8.3,"['Опыт не нужен', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/prodavec-kassir-maag-v-tc-mega-parnas-51161524.html
Продавец-консультант,70.0,,Союзспецодежда6.3,"['Опыт не нужен', 'Сменный график']","Москва, Нахимовский проспект",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/prodavec-konsultant-50828265.html
Мастер электроремонтного цеха,80.0,,ЛИРСОТ,['Полная занятость'],Мытищи,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/master-elektroremontnogo-ceha-50700203.html
Продавец-консультант мебели,57.5,,ДЭФО Вятка,"['Опыт не нужен', 'Сменный график']",Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=31/vakansii/prodavec-konsultant-mebeli-49798318.html
Ведущий флорист,105.0,,FLOWERS IRIS,['Сменный график'],Сестрорецк,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/veduschij-florist-47014338.html
Менеджер / Медицинский консультант,100.0,,МЕДИ РУС6.6,"['Опыт не нужен', 'Сменный график']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/menedzher-50297462.html
Продавец-консультант в магазин парфюмерии и косметики,50.0,,Сеть магазинов парфюмерии и косметики,"['Опыт не нужен', 'Полная занятость']",Тверь,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/prodavec-konsultant-v-magazin-parfyumerii-i-kosmetiki-50605837.html
Машинист крана (НЛМК),221.33333333333334,,Группа НЛМК,"['Опыт не нужен', 'Сменный график']",Липецк,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/mashinist-krana-50885413.html
Дефектоскопист по магнитному и ультразвуковому контролю 6 разряда,87.0,II,Юго-Западная ТЭЦ6.6,['Полная занятость'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/defektoskopist-po-magnitnomu-i-ultrazvukovomu-kontrolyu-6-razryada-27578941.html
Комплектовщица на изготовление образцов пленки ПВХ,30.0,,Компания АДИЛЕТ,"['Опыт не нужен', 'Полная занятость']",Ульяновск,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/komplektovschica-na-izgotovlenie-obrazcov-plenki-pvh-28277626.html
Врач стоматолог-ортопед,155.0,,Мегастом - Академия Дентальной Имплантации,['Сменный график'],"Москва, Кировоградская улица, 11с1",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/vrach-stomatolog-ortoped-35205374.html
Медицинская сестра в стоматологию,60.0,,Стоматологическая поликлиника №30,['Сменный график'],Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/medicinskaya-sestra-v-stomatologiyu-48911338.html
Приемщик товара,70.0,MICROSOFT OFFICE WORD EXCEL,АО ЦВ ПРОТЕКПроверенный работодатель,"['Опыт не нужен', 'Сменный график']",Пушкино,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/priemschik-tovara-50889450.html
Подсобный рабочий (м. Войковская),90.0,,"ФГБУ ""Национальный медицинский исследовательский центр травматологии и ортопедии им. Н. Н. Приорова"" Минздрава России8.4",['Полная занятость'],"Москва, улица Приорова, 10",https://russia.superjob.ru/vacancy/search/?page=31/vakansii/podsobnyj-rabochij-51098068.html
Механик оборудования вентиляции и кондиционирования воздуха,206.0,,ЮЖНАЯ СОКОВАЯ КОМПАНИЯ,['Полная занятость'],Белореченск,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/mehanik-oborudovaniya-ventilyacii-i-kondicionirovaniya-vozduha-51051318.html
Уборщик / Уборщица,51.5,,ГК АКМЭ8.3,"['Отклик без резюме', 'Опыт не нужен', 'Доступно для соискателей от 14+ лет']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=31/vakansii/uborschik-50515245.html
Врач-эпидемиолог,По договорённости,,Социальный фонд России,['Частичная занятость'],Киров (Кировская область),https://russia.superjob.ru/vacancy/search/?page=32/vakansii/vrach-epidemiolog-50546068.html
Кондитер-оформитель,335.3333333333333,,"КуулКлевер (МясновЪ, Отдохни)6.3",['Полная занятость'],"Москва, Бирюлёвская улица, 38",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/konditer-oformitel-50959294.html
Инженер по нормированию труда (м. Калужская),66.0,,"""НПО ""Алмаз""7.9",['Полная занятость'],"Москва, улица Введенского, 8",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/inzhener-po-normirovaniyu-truda-50854448.html
Почтальон,231.0,,Почта РоссииПроверенный работодатель6.2,"['Опыт не нужен', 'Полная занятость']",Мантурово (Костромская обл.),https://russia.superjob.ru/vacancy/search/?page=32/vakansii/pochtalon-50488352.html
Повар-универсал в ресторан Стейк и Бургер (Арбат),86.0,,АПХ Мираторг6.6,"['Опыт не нужен', 'Полная занятость']","Москва, улица Арбат, 38/1с1",https://russia.superjob.ru/vacancy/search/?page=32/vakansii/povar-universal-v-restoran-stejk-i-burger-51021053.html
Электромонтер по ремонту и обслуживанию электрооборудования 4 разряда,67.0,,"СПб ГУП ""Горэлектротранс""6.9","['Старт карьеры', 'Полная занятость']",Санкт-Петербург,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-4-razryada-42278053.html
Agile-коуч / Scrum-мастер,75.0,SCRUM STANDUP,ТД Грасс7.1,['Опыт не нужен'],Волжский,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/agile-kouch-51073705.html
"Техник по обслуживанию зданий и сооружений, разнорабочий",344.6666666666667,,АшанПроверенный работодатель7.1,"['Отклик без резюме', 'Опыт не нужен']",Видное,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/tehnik-po-obsluzhivaniyu-zdanij-i-sooruzhenij-51061513.html
Продавец-консультант (ТЦ Облака),188.66666666666666,,Глория Джинс6.4,"['Опыт не нужен', 'Полная занятость']",Энгельс,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/prodavec-konsultant-51149334.html
Электромонтер по ремонту и обслуживанию электрооборудования 5 разряда,74.0,,Т Плюс7.1,"['Отклик без резюме', 'Старт карьеры', 'Полная занятость']",Екатеринбург,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-5-razryada-51133722.html
Офис-менеджер,60.0,,ГК Миллениум,,Луганск,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/ofis-menedzher-51051635.html
Дворник,65.0,,ГРАНЕЛЬЖКХ,['Опыт не нужен'],Красногорск,https://russia.superjob.ru/vacancy/search/?page=32/vakansii/dvornik-51051502.html
